id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm59314,D.O.A.,MOVIE,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",1950,,83,"['crime', 'comedy', 'thriller', 'drama']",['US'],,tt0042369,7.2,11816,7.932,6.9
tm74188,"Jungle Book",MOVIE,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.",1942,,106,"['fantasy', 'family', 'action']",['US'],,tt0034928,6.7,4195,6.515,6.3
tm159958,"Love Affair",MOVIE,"French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind.",1939,,88,"['romance', 'drama', 'comedy']",['US'],,tt0031593,7.3,5421,4.028,7.3
tm88469,"The Bishop's Wife",MOVIE,"An Episcopal Bishop, Henry Brougham, has been working for months on the plans for an elaborate new cathedral which he hopes will be paid for primarily by a wealthy, stubborn widow. He is losing sight of his family and of why he became a churchman in the first place. Enter Dudley, an angel sent to help him. Dudley does help everyone he meets, but not necessarily in the way they would have preferred. With the exception of Henry, everyone loves him, but Henry begins to believe that Dudley is there to replace him, both at work and in his family's affections, as Christmas approaches.",1947,,109,"['fantasy', 'comedy', 'drama', 'romance']",['US'],,tt0039190,7.6,17675,9.031,7.1
tm100997,"Of Human Bondage",MOVIE,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though "happily ever after"" is not to be."",1934,,83,"['drama', 'romance']",['US'],,tt0025586,7,7332,5.776,6.6
tm70212,"Our Town",MOVIE,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",1940,,90,"['romance', 'drama', 'family']",['US'],,tt0032881,6.5,2607,2.847,5.6
tm159975,"The Little Princess",MOVIE,"The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.",1939,G,93,"['comedy', 'drama', 'family']",['US'],,tt0031580,7.1,6122,6.148,6.8
tm56594,"The Jackie Robinson Story",MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,,76,"['drama', 'sport']",['US'],,tt0042609,6.3,1272,1.957,6.4
tm89268,"The Secret Life of Walter Mitty",MOVIE,"Walter Mitty, a daydreaming writer with an overprotective mother, likes to imagine that he is a hero who experiences fantastic adventures. His dream becomes reality when he accidentally meets a mysterious woman who hands him a little black book. According to her, it contains the locations of the Dutch crown jewels hidden since World War II. Soon, Mitty finds himself in the middle of a confusing conspiracy, where he has difficulty differentiating between fact and fiction.",1947,,105,"['romance', 'comedy', 'fantasy']",['US'],,tt0039808,6.9,6307,5.415,6.8
tm87972,"The Strange Love of Martha Ivers",MOVIE,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.",1946,,115,"['thriller', 'romance', 'drama']",['US'],,tt0038988,7.4,9729,9.703,7.2
tm79732,"Flying Tigers",MOVIE,"Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers.",1942,,102,"['drama', 'romance', 'war', 'action']","['MX', 'US']",,tt0034742,6.7,3917,3.238,6.1
tm140201,"Lady Windermere's Fan",MOVIE,"A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.",1925,,120,['comedy'],['US'],,tt0016004,7.2,1157,2.313,6.9
tm52327,"The Front Page",MOVIE,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",1931,,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",['US'],,tt0021890,6.2,17,5.403,6.6
tm5661,"White Zombie",MOVIE,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932,,67,['horror'],['US'],,tt0023694,6.3,10410,6.822,5.9
tm6408,"Bird of Paradise",MOVIE,"When a young South Seas sailor falls overboard, the beautiful daughter of a Polynesian king dives in and saves his life. Thus begins the romance of Johnny and Luana. Though Luana is promised to another man, Johnny whisks her away, and for a brief time the lovers live very happily together. But, when a local volcano threatens their lives, Luana knows that she must sacrifice herself to the volcanic gods in order to save her island.",1932,,80,"['romance', 'drama']",['US'],,tt0022689,6,1298,3.164,5
tm140761,"The Lost World",MOVIE,"The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.",1925,,93,"['fantasy', 'thriller', 'scifi']",['US'],,tt0016039,7,5185,8.026,6.7
tm1200,"49th Parallel",MOVIE,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.",1941,,123,"['thriller', 'war', 'drama']","['GB', 'CA']",,tt0033627,7.3,6716,8.475,7
tm138416,"The Private Life of Henry VIII",MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,,90,"['history', 'comedy', 'drama', 'romance']",['GB'],,tt0024473,7,4297,5.268,6.4
tm17109,"The Southerner",MOVIE,"Sam Tucker, a cotton picker, in search of a better future for his family, decides to grow his own cotton crop. In the first year, the Tuckers battle disease, a flood, and a jealous neighbor. Can they make it as farmers?",1945,,92,['drama'],['US'],,tt0038107,7.1,3443,3.753,6.3
tm52,"A Farewell to Arms",MOVIE,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",1932,PG,89,"['drama', 'romance', 'war']",['US'],,tt0022879,6.4,5970,7.581,6.3
tm97774,"The Scarlet Letter",MOVIE,"In the seventeenth century, in Massachusetts, a young woman is forced to wear a scarlet "A"" on her dress for bearing a child out of wedlock."",1934,G,69,"['drama', 'history', 'romance']",['US'],,tt0025747,5.3,367,1.666,4
tm8190,"The Hunchback of Notre Dame",MOVIE,"In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her.",1923,,113,"['horror', 'drama', 'romance']",['US'],,tt0014142,7.2,5387,5.431,6.5
tm53452,Tabu,MOVIE,"The youngsters Matahi and Reri are in love with each other. The old warrior Hitu announces that Reri is to be the new chosen virgin for the gods. This means she must stay untouched, otherwise she and her lover will be killed. But Matahi abducts and escapes with her to an island ruled by the white man, where their gods would be harmless and powerless.",1931,PG-13,86,"['drama', 'romance', 'action']",['US'],,tt0022458,7.4,5783,7.156,7.3
tm60168,"The Big Lift",MOVIE,"The Berlin Air Lift from the point of view of two NCOs.",1950,,120,"['drama', 'war']","['DE', 'US']",,tt0042249,6.5,1550,2.667,6.7
tm70223,"Why We Fight: Prelude to War",MOVIE,"Prelude to War was the first film of Frank Capra's Why We Fight propaganda film series, commissioned by the Pentagon and George C. Marshall. It was made to convince American troops of the necessity of combating the Axis Powers during World War II. This film examines the differences between democratic and fascist states.",1942,,53,"['documentation', 'war']",['US'],,tt11089918,7,2194,3.877,6.6
tm60798,"The Fighting Kentuckian",MOVIE,"John Breen (John Wayne), a Kentucky militiaman falls in love with French exile Fleurette De Marchand (Vera Ralston). He discovers a plot to steal the land that Fleurette's exiles plan to settle on and aims to foil it.",1949,,100,"['western', 'war', 'romance']",['US'],,tt0041361,6.4,3260,7.146,5.8
tm77319,"Santa Fe Trail",MOVIE,"As a penalty for fighting fellow classmates days before graduating from West Point, J.E.B. Stuart, George Armstrong Custer and four friends are assigned to the 2nd Cavalry, stationed at Fort Leavenworth. While there they aid in the capture and execution of the abolitionist, John Brown following the Battle of Harper's Ferry.",1940,,110,"['western', 'war', 'drama', 'history', 'romance']",['US'],,tt0033021,6.2,3754,5.925,5.8
tm17383,"Dick Tracy",MOVIE,"Detective Tracy (Morgan Conway) rescues Tess Trueheart (Anne Jeffreys) and Junior from a killer called Splitface (Mike Mazurki).",1945,,61,"['action', 'crime', 'thriller', 'family']",['US'],,tt0037642,5.9,1380,2.627,5.1
tm50402,"Woman on the Run",MOVIE,"Frank Johnson, a sole witness to a gangland murder, goes into hiding and is trailed by Police Inspector Ferris, on the theory that Frank is trying to escape from possible retaliation. Frank's wife, Eleanor, suspects he is actually running away from their unsuccessful marriage. Aided by a newspaperman, Danny Leggett, Eleanor sets out to locate her husband. The killer is also looking for him, and keeps close tabs on Eleanor.",1950,PG,77,"['drama', 'crime', 'thriller']",['US'],,tt0043142,7.2,3901,4.814,6.8
tm88502,"Life with Father",MOVIE,"A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.",1947,,118,"['comedy', 'family']",['US'],,tt0039566,7.1,5446,4.151,6.4
tm62593,"Nothing Sacred",MOVIE,"When a small-town girl is diagnosed with a rare, deadly disease, an ambitious newspaper man turns her into a national heroine.",1937,,77,"['romance', 'drama', 'fantasy', 'comedy']",['US'],,tt0029322,6.9,6570,4.764,6.3
tm85417,"Penny Serenade",MOVIE,"While listening to a recording of Penny Serenade, Julie Gardiner Adams begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams, which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.",1941,,119,"['romance', 'drama']",['US'],,tt0034012,7.1,7087,5.767,6.8
tm4525,"He Walked by Night",MOVIE,"This film-noir piece, told in semi-documentary style, follows police on the hunt for a resourceful criminal who shoots and kills a cop.",1949,,79,"['thriller', 'crime']",['US'],,tt0040427,7.1,5943,5.253,6.7
tm5051,Algiers,MOVIE,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines",1938,,96,"['drama', 'romance']",['US'],,tt0029855,6.7,2803,2.472,6.7
tm7107,"Louisiana Story",MOVIE,"The idyllic life of a young Cajun boy and his pet raccoon is disrupted when the tranquility of the bayou is broken by an oil well drilling near his home.",1948,,78,['drama'],['US'],,tt0040550,6.6,1895,2.775,6.8
tm118203,"Jack London",MOVIE,"The adventurous and remarkable life of the US writer Jack London (1876-1916).",1943,,94,"['drama', 'war', 'romance']",['US'],,tt0036051,5.1,389,2.022,5.8
tm100333,"Broken Blossoms",MOVIE,"The love story of an abused English girl and a Chinese Buddhist in a time when London was a brutal and harsh place to live.",1919,PG-13,89,"['romance', 'drama']",['US'],,tt0166130,7.3,10230,6.012,6.9
tm109275,"Dr. Jekyll and Mr. Hyde",MOVIE,"A doctor's research into the roots of evil turns him into a hideous depraved fiend.",1920,,79,"['horror', 'scifi', 'drama']",['US'],,tt0011130,6.9,5367,8.16,7
tm142410,"The Pleasure Garden",MOVIE,"Patsy Brand is a chorus girl at the Pleasure Garden music hall. She meets Jill Cheyne who is down on her luck and gets her a job as a dancer. Jill meets adventurer Hugh Fielding and they get engaged, but when Hugh travels out of the country, she begins to play around.",1925,,75,"['romance', 'drama']",['GB'],,tt0016230,5.8,2504,3.871,5.4
tm61613,"Too Late for Tears",MOVIE,"One night on a lonely highway, a speeding car tosses a satchel of money, meant for somebody else, into Jane and Alan Palmer's back seat. Alan wants to turn it over to the police, but Jane persuades him to hang onto it 'for a while'. Soon, the Palmers are traced by one Danny Fuller, a sleazy character who claims the money is his.",1949,PG,99,"['crime', 'thriller', 'drama']",['US'],,tt0041968,7.3,4678,5.145,6.9
tm61597,Trapped,MOVIE,"U.S. Treasury Department agents go after a ring of counterfeiters.",1949,,78,"['thriller', 'crime', 'drama']",['US'],,tt0041983,6.4,1352,2.876,5.8
tm131025,Mother,MOVIE,"A  story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike.",1926,,89,['drama'],['SU'],,tt0017128,7.5,2785,4.756,7.3
tm127199,"Orphans of the Storm",MOVIE,"France, on the eve of the French Revolution. Henriette and Louise have been raised together as sisters. When the plague that takes their parents' lives causes Louise's blindness, they decide to travel to Paris in search of a cure, but they separate when a lustful aristocrat crosses their path.",1921,,150,"['drama', 'history', 'romance']",['US'],,tt0242584,7.3,5133,5.002,7
tm91719,"Let There Be Light",MOVIE,"The final entry in a trilogy of films produced for the U.S. government by John Huston. Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment. It deals with what would now be called PTSD, but at the time was categorised as psychoneurosis or shell-shock. Government officials deemed this 1946 film counterproductive to postwar efforts; it was not shown publicly until 1981.",1946,,58,"['war', 'documentation']",['US'],,tt0082649,7.4,1850,3.226,7.4
tm90549,"The Red House",MOVIE,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.",1947,,100,"['thriller', 'horror', 'drama']",['US'],,tt0039757,6.8,4016,3.991,6.3
tm87103,"Robin Hood",MOVIE,"Amid big-budget medieval pageantry, King Richard goes on the Crusades leaving his brother Prince John as regent, who promptly emerges as a cruel, grasping, treacherous tyrant. Apprised of England's peril by message from his lady-love Marian, the dashing Earl of Huntingdon endangers his life and honor by returning to oppose John, but finds himself and his friends outlawed, with Marian apparently dead. Enter Robin Hood, acrobatic champion of the oppressed, laboring to set things right through swashbuckling feats and cliffhanging perils!",1922,,133,"['romance', 'family']",['US'],,tt0013556,7.1,2219,2.426,6.3
tm72646,"The Hurricane",MOVIE,"In the colonial era, island native Terangi (Jon Hall) spends a blissful honeymoon with his bride, Marama (Dorothy Lamour). Soon after, however, their relationship is torn asunder when Terangi is sent to prison for punching a prejudiced white man. Prominent members of the community -- including the governor's wife, Mme. De Laage (Mary Astor), petition the governor for clemency, but he refuses to budge. However, all pretense of law and order are soon shattered by an incoming tropical storm.",1937,,110,"['drama', 'romance', 'action']",['US'],,tt0029030,7.2,2595,2.85,7
tm3083,"The Memphis Belle: A Story of a Flying Fortress",MOVIE,"This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing raid on sub-pens in Wilhelmshaven, Germany.",1944,,45,"['war', 'documentation', 'history']",['US'],,tt0036152,7.3,1646,2.497,6.7
tm17025,"The Cat and the Canary",MOVIE,"Rich old Cyrus West's relatives are waiting for him to die so they can inherit. But he stipulates that his will be read 20 years after his death. On the appointed day his expectant heirs arrive at his brooding mansion. The will is read and it turns out that Annabelle West, the only heir with his name left, inherits, if she is deemed sane. If she isn't, the money and some diamonds go to someone else, whose name is in a sealed envelope. Before he can reveal the identity of her successor to Annabelle, Mr. Crosby, the lawyer, disappears. The first in a series of mysterious events, some of which point to Annabelle in fact being unstable.",1927,,108,"['comedy', 'thriller', 'horror']",['US'],,tt0017739,7.1,2981,5.109,7
tm113262,"These Three",MOVIE,"Martha and Karen graduate from college and turn an old Massachusetts farm into a school for girls. The friends are aided in their venture by local doctor Joe Cardin, who begins a relationship with Karen, and a prominent woman whose granddaughter, Mary, later enrolls in the new school. Mary soon reveals herself to be a spiteful child and tells a scandalous lie about Martha and Joe that threatens to destroy the lives of all involved.",1936,,93,"['romance', 'drama']",['US'],,tt0028356,7.4,2705,3.913,7.3
tm90149,"Smash-Up: The Story of a Woman",MOVIE,"A nightclub singer uses alcohol in excess to sooth her painful life.",1947,,103,"['drama', 'music', 'romance']",['US'],,tt0039840,6.4,1489,2.302,6
tm67825,Impact,MOVIE,"After surviving a murder attempt, an auto magnate goes into hiding so his wife can pay for the crime.",1949,,111,"['thriller', 'crime', 'drama']",['US'],,tt0041503,7,3809,4.016,6.3
tm5493,"The Amazing Mr. X",MOVIE,"On the beach one night, Christine Faber, two years a widow, thinks she hears her late husband Paul calling out of the surf...then meets a tall dark man, Alexis, who seems to know all about such things. After more ghostly manifestations, Christine and younger sister Janet become enmeshed in the eerie artifices of Alexis; but he in turn finds himself manipulated into deeper deviltry than he had in mind...",1948,,78,"['thriller', 'horror']",['US'],,tt0040829,6.4,1789,4.024,6.1
tm72394,"The Green Hornet",MOVIE,"A newspaper publisher and his Korean servant fight crime as vigilantes who pose as a notorious masked gangster and his aide.",1940,,258,"['crime', 'drama', 'family', 'scifi', 'thriller']",['US'],,tt0031394,6.5,609,1.164,5.9
tm16924,College,MOVIE,"Brilliant in his studies and dismissive of athletics, Ronald finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary ignores him in favor of brutish jock Jeff. Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable.",1927,,66,"['comedy', 'drama', 'sport']",['US'],,tt0017765,7,4836,5.164,6.8
tm82402,"The Devil Bat",MOVIE,"Dr. Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives.",1940,,68,"['horror', 'scifi']",['US'],,tt0032390,5.5,3006,3.612,5.3
tm158,"A Song Is Born",MOVIE,"The story of seven scholars in search of an expert to teach them about swing music. They seem to have found the perfect candidate in winsome nightclub singer Honey Swanson. But Honey's gangster boyfriend doesn't want to give her up.",1948,,113,"['music', 'action', 'comedy', 'romance']",['US'],,tt0040820,6.9,2489,3.459,6.5
ts55748,"What's My Line?",SHOW,"Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only "yes"" or ""no"" questions."",1950,,30,"['reality', 'family']",['US'],18.0,tt1036980,8.6,1563,87.392,6.9
